,id,prolificID,jspsychID,time_elapse,cause_agent,cause_patient,cause_agent_rt,cause_patient_rt,anim_check,tower_check,agent_check,sub_feedback1,sub_feedback2,subject_id,id,date,prolificID,jspsychID,completion,compelete_time,exp_cond
204,205,60b7a01b6e132a6ed8c92b8d,5em816jmak7o87u,79815.0,[100],[3],[24140.900000002235],[30749.20000000298],1,1,1,I considered the role of each ball,No,219,219,2021-11-29 12:49:12.104262,60b7a01b6e132a6ed8c92b8d,5em816jmak7o87u,1,,animate_moral
205,206,5a68c9f563394a000155cbe5,pm62w6tgrjrb19c,160283.0,[0],[84],[97996],[128471],1,1,1,I looked at the video,none,218,218,2021-11-29 12:48:58.730935,5a68c9f563394a000155cbe5,pm62w6tgrjrb19c,1,,animate_moral
207,208,60fd43be7a0dec9d13806f6a,qk9kstaed6o7t70,96135.0,"[48, 55]","[68, 73]","[40605.59999990463, 65825.20000004768]","[59696.200000047684, 68164.90000009537]",1,1,1,"How fast green was going, the little jump from pink when green added to the tower suggested he was enjoying it and happy so when he bumped into green I took it as not really pinks fault ",Nope all good,220,220,2021-11-29 12:51:43.262808,60fd43be7a0dec9d13806f6a,qk9kstaed6o7t70,1,,animate_moral
208,209,60fccfe8530898dbd913d3c7,k87jgk1jzeowclp,52678.0,[42],[45],[20635],[27085],1,1,1,"Watch a few times, make sure i have all the facts",,223,223,2021-11-29 12:53:21.305086,60fccfe8530898dbd913d3c7,k87jgk1jzeowclp,1,,animate_moral
209,210,5afde9de3eb22c00019bb6e3,gnxb35kbzfrtpsq,48279.0,[81],"[78, 81]",[17538],"[32867, 35546]",1,1,1,Pink's actions,,221,221,2021-11-29 12:51:43.543461,5afde9de3eb22c00019bb6e3,gnxb35kbzfrtpsq,1,,animate_moral
210,211,60fdc806eacd670ff98231f1,solpgphvc5xmnsq,37253.0,[100],[100],[17309.299999952316],[19525.400000095367],1,1,1,what i read and what i saw,None,224,224,2021-11-29 12:53:51.711230,60fdc806eacd670ff98231f1,solpgphvc5xmnsq,1,,animate_moral
211,212,5d2a2d08ec09020018360c02,lo8p6fomm4uq03e,38673.0,[100],[0],[17364.400000000373],[21959.200000000186],1,1,1,what i saw,,227,227,2021-11-29 12:54:39.576242,5d2a2d08ec09020018360c02,lo8p6fomm4uq03e,1,,animate_moral
212,213,60af93df5b5879e922923c41,31w5axwu2g2m1vs,72916.0,[100],[100],[22140.70000001788],[29348.80000001192],1,1,1,I tried to remain objective and work with the information presented in the video clips as honestly as possible,The task was simple and I did not experience any technical difficulties,226,226,2021-11-29 12:54:32.252290,60af93df5b5879e922923c41,31w5axwu2g2m1vs,1,,animate_moral
214,215,6061e7b060a94ad7bcabc3a5,o5vopdd7cg3t55o,53485.0,[82],"[39, 23]",[19878],"[25272.000000000007, 29339.000000000007]",1,1,1,The fact that pink knocked green into the tower,No technical difficulties,231,231,2021-11-29 12:55:43.726722,6061e7b060a94ad7bcabc3a5,o5vopdd7cg3t55o,1,,animate_moral
215,216,5fd133fc694ea30caa753f3f,vdzgv0nh95loayq,62797.0,[59],[67],[33725.19999999553],[37449.59999999404],1,1,1,looking at the balls,no. none at all.,229,229,2021-11-29 12:55:37.055371,5fd133fc694ea30caa753f3f,vdzgv0nh95loayq,1,,animate_moral
216,217,5ca231bf6a488a00011ae9cb,owmnjgghtsn82sk,26700.0,[56],[68],[13777.10000038147],[15184.5],1,1,1,Which colour ball caused the tower to fall. If it was possible for pink to stop green from knocking the tower over,No technical issues,230,230,2021-11-29 12:55:39.907305,5ca231bf6a488a00011ae9cb,owmnjgghtsn82sk,1,,animate_moral
217,218,60d8f55069aaf39b7c14ad19,uzvtx22zon792s0,54181.0,[59],[59],[28257],[31828.000000000007],1,1,1,The speed and movement of the balls,nothing strange or out of the ordinary,232,232,2021-11-29 12:56:04.853320,60d8f55069aaf39b7c14ad19,uzvtx22zon792s0,1,,animate_moral
218,219,602044c8c8de0361eee66834,u5fttp21slh0vm7,132557.0,[28],[73],[67471.19999999995],[70087.30000000005],1,1,1,"green was heading towards the tower anyway, pink just made it happen sooner ",,222,222,2021-11-29 12:52:27.709592,602044c8c8de0361eee66834,u5fttp21slh0vm7,1,,animate_moral
