,id,prolificID,jspsychID,time_elapse,cause_agent,cause_patient,cause_agent_rt,cause_patient_rt,anim_check,tower_check,agent_check,sub_feedback1,sub_feedback2,subject_id,id,date,prolificID,jspsychID,completion,compelete_time,exp_cond
0,1,611c38d3b886cf2d7b5c78aa,sddnahfs0g5zue1,41157.0,[44],[58],[21834.29999923706],[23462.10000038147],1,1,0,"the pink ball actually hit the tower, but the green ball did hit the pink one, however i think the pink ball would have hit the tower even without the green ball",no,1,1,2021-11-29 10:50:44.541681,611c38d3b886cf2d7b5c78aa,sddnahfs0g5zue1,1,,inanimate_rational
1,2,57ca2f6c6736cf0001b32017,swzox5yalc48eqb,57510.0,[0],[100],[16614.900000000373],[19307.5],1,1,0,,,3,3,2021-11-29 10:51:45.979928,57ca2f6c6736cf0001b32017,swzox5yalc48eqb,1,,inanimate_rational
2,3,613a5e4e74f66e21b094654b,mlod6bpwjya4vrp,62235.0,"[50, 0]","[100, 100]","[18820.799999952316, 21421.299999952316]","[24275.400000095367, 27223.799999952316]",1,1,0,watched the clip several times over.,No,5,5,2021-11-29 10:52:16.204260,613a5e4e74f66e21b094654b,mlod6bpwjya4vrp,1,,inanimate_rational
3,4,59307217e7866d000161868d,pakc6cyefuhvase,152397.0,[80],[42],[30646.099999904633],[36296],1,1,0,,,2,2,2021-11-29 10:51:03.921979,59307217e7866d000161868d,pakc6cyefuhvase,1,,inanimate_rational
4,5,5ea92b1506b31a000c9f5248,88c1ubkx9ljf4pa,46894.0,"[14, 30]",[67],"[18466, 21960]",[23345],1,1,0,The ball that hit the tower first was the one mainly responsible for causing the tower to fall.,I had no issues and thought it was a good task.,6,6,2021-11-29 10:53:04.317946,5ea92b1506b31a000c9f5248,88c1ubkx9ljf4pa,1,,inanimate_rational
5,6,59307217e7866d000161868d,pakc6cyefuhvase,34054.0,[79],[49],[14824.099999904633],[20535.299999952316],1,1,0,Thinking if the green wasn't as forceful pink would not have the power to make it fall,no,2,2,2021-11-29 10:51:03.921979,59307217e7866d000161868d,pakc6cyefuhvase,1,,inanimate_rational
6,7,5d1f56509b5c2a00014bb17d,k6jnsnjyatv7yvh,54841.0,[0],[100],[20361.599999904633],[23181.599999904633],1,1,0,I considered which ball made contact with the tower,,8,8,2021-11-29 10:54:06.551243,5d1f56509b5c2a00014bb17d,k6jnsnjyatv7yvh,1,,inanimate_rational
7,8,6054954c92cb084f6ef88412,6fdwo2ug0qol391,55980.0,[63],[60],[20226.20000000298],[24605.70000000298],1,1,0,which balls went where,,7,7,2021-11-29 10:54:03.617097,6054954c92cb084f6ef88412,6fdwo2ug0qol391,1,,inanimate_rational
8,9,5f51f05354863a44677a2eef,41h6bmmjoleqf4e,79624.0,[34],[66],[29221.999999999993],[32061.999999999993],1,1,0,Force that ball hit the tower and if one hitting the other impacted the force,,10,10,2021-11-29 10:56:25.982134,5f51f05354863a44677a2eef,41h6bmmjoleqf4e,1,,inanimate_rational
9,10,5a4e95373646f90001741ad8,j3ex8ug509ff0a8,52436.0,[0],[94],[21605.60000000149],[25805.700000001118],1,1,0,the pattern the balls went in,,13,13,2021-11-29 10:57:24.235138,5a4e95373646f90001741ad8,j3ex8ug509ff0a8,1,,inanimate_rational
