#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=36619 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:2.10 aq:0.00 tex:2086210 mv:38635 misc:219 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:2.86 aq:0.00 tex:204339 mv:774 misc:3647 imb:12 pmb:1878 smb:1710 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:2.86 aq:0.09 tex:47170 mv:1938 misc:3316 imb:1 pmb:1286 smb:2313 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:2.86 aq:0.09 tex:34597 mv:1822 misc:3157 imb:1 pmb:1142 smb:2457 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:2.86 aq:0.15 tex:26078 mv:1339 misc:2663 imb:0 pmb:768 smb:2832 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:2.33 aq:0.00 tex:86075 mv:406 misc:2975 imb:5 pmb:944 smb:2651 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:2.60 aq:0.09 tex:27360 mv:1423 misc:2825 imb:0 pmb:838 smb:2762 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:2.73 aq:0.02 tex:18491 mv:1109 misc:2584 imb:0 pmb:686 smb:2914 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:2.46 aq:0.02 tex:19553 mv:988 misc:2443 imb:1 pmb:635 smb:2964 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:1.69 aq:0.00 tex:70335 mv:292 misc:2789 imb:1 pmb:824 smb:2775 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:2.01 aq:0.01 tex:21865 mv:1212 misc:2651 imb:1 pmb:752 smb:2847 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:2.17 aq:0.01 tex:17095 mv:888 misc:2433 imb:0 pmb:614 smb:2986 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:1.85 aq:0.08 tex:19137 mv:878 misc:2457 imb:0 pmb:630 smb:2970 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:75686 mv:541 misc:2781 imb:12 pmb:806 smb:2782 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:0.85 aq:0.01 tex:25571 mv:1176 misc:2653 imb:0 pmb:750 smb:2850 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:1.27 aq:0.08 tex:19476 mv:866 misc:2474 imb:0 pmb:641 smb:2959 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:0.42 aq:0.07 tex:21346 mv:982 misc:2520 imb:3 pmb:655 smb:2942 d:- ref:0 ;
in:19 out:17 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:1648616 mv:3226 misc:326 imb:278 pmb:3321 smb:1 d:- ref:0 ;
in:17 out:18 type:B dur:2 cpbdur:2 q:0.00 aq:0.01 tex:39235 mv:1531 misc:2978 imb:1 pmb:994 smb:2605 d:- ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:0.00 aq:0.06 tex:258494 mv:593 misc:2001 imb:12 pmb:3154 smb:434 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:259131 mv:1051 misc:1978 imb:9 pmb:3201 smb:390 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:110048 mv:1002 misc:3662 imb:20 pmb:2174 smb:1406 d:- ref:0 ;
in:23 out:22 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:101287 mv:1244 misc:3701 imb:20 pmb:2054 smb:1526 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:0.00 aq:0.04 tex:90131 mv:1229 misc:3672 imb:8 pmb:2010 smb:1582 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:96328 mv:1104 misc:3736 imb:16 pmb:2042 smb:1542 d:- ref:0 ;
in:26 out:25 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:126582 mv:1241 misc:3721 imb:39 pmb:2057 smb:1504 d:- ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:0.00 aq:0.04 tex:98029 mv:1230 misc:3685 imb:9 pmb:2032 smb:1559 d:- ref:0 ;
