,id,date,jspsychID,prolificID,completion,block,trial_num,stimulus,time_elapse,causal_rating,cf_resp,animacy_rating,cause_rt,anim_rt,cf_rt,trial_rt,subject_id,vid_num,agent,outcome,cf
48,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,1,21_a_out_in.mp4,98365.0,99,,91,18373.39999999944,21931.200000000186,,22465.200000000186,40,21,animate,outcome_out,cf_in
49,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,2,10_p_in_in.mp4,135679.0,1,,31,29770.200000000186,35576.0,,36060.09999999963,40,10,inanimate,outcome_in,cf_in
50,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,3,19_a_out_in.mp4,153827.0,88,,1,12940.100000000559,15648.300000000745,,16394.60000000056,40,19,animate,outcome_out,cf_in
52,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,5,03_p_in_out.mp4,182909.0,91,,6,10145.599999999627,16949.39999999944,,17485.5,40,03,inanimate,outcome_in,cf_out
53,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,6,06_p_in_out.mp4,197598.0,100,,1,5551.899999999441,11975.299999999814,,14171.5,40,06,inanimate,outcome_in,cf_out
54,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,7,02_p_in_out.mp4,209502.0,100,,1,5272.600000000559,9112.5,,9898.600000000559,40,02,inanimate,outcome_in,cf_out
55,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,8,13_a_out_out.mp4,217890.0,100,,100,5705.299999999814,6501.0,,7133.4000000003725,40,13,animate,outcome_out,cf_out
56,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,9,14_p_out_out.mp4,225285.0,95,,82,4030.9000000003725,6380.4000000003725,,6890.9000000003725,40,14,inanimate,outcome_out,cf_out
57,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,10,20_a_out_in.mp4,231523.0,100,,87,4173.4000000003725,5501.5,,5983.9000000003725,40,20,animate,outcome_out,cf_in
58,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,11,23_a_out_in.mp4,243649.0,100,,80,8617.700000000186,9895.599999999627,,10621.700000000186,40,23,animate,outcome_out,cf_in
59,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,12,02_a_in_out.mp4,258667.0,11,,93,9940.399999999441,12730.299999999814,,13758.5,40,02,animate,outcome_in,cf_out
60,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,13,23_p_out_in.mp4,314904.0,100,,6,48078.199999999255,53630.09999999963,,54225.89999999944,40,23,inanimate,outcome_out,cf_in
61,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,14,05_a_in_out.mp4,330964.0,100,,93,13814.599999999627,14833.099999999627,,15554.5,40,05,animate,outcome_in,cf_out
62,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,15,16_a_out_out.mp4,345994.0,100,,97,11335.900000000373,12401.799999999814,,13274.099999999627,40,16,animate,outcome_out,cf_out
63,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,16,24_a_out_in.mp4,408067.0,96,,94,58907.59999999963,60029.199999999255,,60559.699999999255,40,24,animate,outcome_out,cf_in
64,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,17,04_p_in_out.mp4,435744.0,81,,1,16649.799999999814,26481.799999999814,,27420.199999999255,40,04,inanimate,outcome_in,cf_out
65,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,18,09_p_in_in.mp4,482609.0,70,,9,21959.099999999627,44095.5,,45111.59999999963,40,09,inanimate,outcome_in,cf_in
66,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,19,22_a_out_in.mp4,502661.0,82,,86,8958.899999999441,18801.0,,19545.299999999814,40,22,animate,outcome_out,cf_in
67,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,20,10_a_in_in.mp4,522461.0,87,,91,12124.600000000559,14746.0,,18292.200000000186,40,10,animate,outcome_in,cf_in
68,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,21,04_a_in_out.mp4,538189.0,80,,87,9554.5,13416.700000000186,,13958.5,40,04,animate,outcome_in,cf_out
70,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,23,12_a_in_in.mp4,570771.0,7,,94,6715.799999999814,8016.0,,8912.0,40,12,animate,outcome_in,cf_in
71,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,24,12_p_in_in.mp4,580825.0,11,,11,6192.299999999814,7878.799999999814,,9296.5,40,12,inanimate,outcome_in,cf_in
72,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,25,18_a_out_out.mp4,602062.0,88,,89,17187.0,18927.0,,19731.0,40,18,animate,outcome_out,cf_out
73,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,26,18_p_out_out.mp4,624535.0,7,,9,19184.900000000373,20796.799999999814,,21466.799999999814,40,18,inanimate,outcome_out,cf_out
74,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,27,11_p_in_in.mp4,638909.0,16,,18,10960.600000000559,12415.0,,13869.0,40,11,inanimate,outcome_in,cf_in
75,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,28,21_p_out_in.mp4,666878.0,83,,9,15005.599999999627,26485.799999999814,,27464.299999999814,40,21,inanimate,outcome_out,cf_in
76,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,29,14_a_out_out.mp4,672687.0,83,,87,3524.5,4464.4000000003725,,5044.299999999814,40,14,animate,outcome_out,cf_out
77,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,30,16_p_out_out.mp4,679349.0,85,,9,3650.5,4572.800000000745,,5146.700000000186,40,16,inanimate,outcome_out,cf_out
78,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,31,15_a_out_out.mp4,685977.0,81,,82,3694.9000000003725,5359.100000000559,,6122.5,40,15,animate,outcome_out,cf_out
80,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,33,24_p_out_in.mp4,741651.0,18,,9,9803.799999999814,37893.299999999814,,38508.09999999963,40,24,inanimate,outcome_out,cf_in
81,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,34,20_p_out_in.mp4,748323.0,87,,9,3719.0,5580.700000000186,,6157.200000000186,40,20,inanimate,outcome_out,cf_in
82,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,35,17_p_out_out.mp4,753711.0,9,,11,4101.899999999441,4601.799999999814,,5123.5999999996275,40,17,inanimate,outcome_out,cf_out
83,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,36,06_a_in_out.mp4,820625.0,100,,7,19328.10000000056,65716.90000000037,,66408.29999999981,40,06,animate,outcome_in,cf_out
84,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,37,11_a_in_in.mp4,862237.0,85,,85,37594.60000000056,39386.40000000037,,40104.200000000186,40,11,animate,outcome_in,cf_in
85,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,38,13_p_out_out.mp4,878935.0,95,,1,9942.599999999627,15361.200000000186,,15936.899999999441,40,13,inanimate,outcome_out,cf_out
86,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,39,05_p_in_out.mp4,925031.0,9,,9,43066.300000000745,43822.300000000745,,44340.200000000186,40,05,inanimate,outcome_in,cf_out
88,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,41,01_a_in_out.mp4,953825.0,89,,88,4671.5,5571.399999999441,,6100.0999999996275,40,01,animate,outcome_in,cf_out
89,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,42,17_a_out_out.mp4,958871.0,7,,95,3330.0,4195.899999999441,,4790.0,40,17,animate,outcome_out,cf_out
90,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,43,22_p_out_in.mp4,987537.0,92,,8,20483.599999999627,26407.700000000186,,26911.799999999814,40,22,inanimate,outcome_out,cf_in
91,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,44,15_p_out_out.mp4,1006401.0,90,,5,9504.900000000373,17304.700000000186,,18108.900000000373,40,15,inanimate,outcome_out,cf_out
92,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,45,19_p_out_in.mp4,1019167.0,92,,4,10177.299999999814,11646.900000000373,,12261.0,40,19,inanimate,outcome_out,cf_in
93,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,46,09_a_in_in.mp4,1026566.0,92,,8,4839.700000000186,5914.0,,6379.5,40,09,animate,outcome_in,cf_in
94,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,47,01_p_in_out.mp4,1048197.0,94,,7,16192.100000000559,18568.400000000373,,19626.900000000373,40,01,inanimate,outcome_in,cf_out
95,40,2021-09-30 17:30:10.540822,1c0rehfjbb5j2dp,61537cec23950ded33bf5f08,1,video-slider-response,48,03_a_in_out.mp4,1063681.0,93,,94,11557.299999999814,13935.5,,14973.299999999814,40,03,animate,outcome_in,cf_out
97,143,2021-10-01 14:28:42.274314,1gr9ckwrg193v0y,5f3fd4d348ba6b0822da3b43,1,video-slider-response,2,16_a_out_out.mp4,63687.0,74,,100,5471.600000000006,6743.600000000006,,7543.5,143,16,animate,outcome_out,cf_out
