Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
614fa5b705e56b6359788a5d,5f8671c4b8cacd1d4444fab5,APPROVED,2021-09-25T22:42:07.756000Z,2021-09-25T22:55:29.738000Z,2021-09-25T22:59:00.686000Z,,802,875B6695,479,English,20,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
614fa61e0be33508d611410d,614f8fd971601c970ac491b1,APPROVED,2021-09-25T22:43:50.866000Z,2021-09-25T22:56:42.094000Z,2021-09-25T22:57:58.271000Z,,772,NOCODE,212,English,29,Male,White,United States,United States,United States,English,Yes,Full-Time
614fa63cd9535c0d4e7d1496,5f73edee7379c903c056edfb,APPROVED,2021-09-25T22:44:17.608000Z,2021-09-25T23:03:56.341000Z,2021-09-25T23:13:58.089000Z,,1179,NOCODE,17,"Galician, English, Spanish",22,Male,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
614fa6774ca270cb13b13e15,614f6f8a399a3eddfbf7fc75,REJECTED,2021-09-25T22:45:17.033000Z,2021-09-25T22:49:03.177000Z,2021-09-25T22:56:35.905000Z,,227,NOCODE,6,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
614fa68782032a4fd3c60802,614efef7c736b9764986ea13,APPROVED,2021-09-25T22:45:41.196000Z,2021-09-25T23:11:38.357000Z,2021-09-25T23:14:56.021000Z,,1558,NOCODE,3,English,19,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
614fa6c81c16faf0dbd281ab,614f6c9abf0101c8e920b8b1,APPROVED,2021-09-25T22:57:00.068000Z,2021-09-26T13:29:19.794000Z,2021-09-26T13:29:19.843000Z,,52340,Manual Completion,7,"English, Spanish",37,Male,Other,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
614fa6f27f488ea74e68971d,61453102f1a4a04ad2d84ddb,APPROVED,2021-09-25T22:48:01.557000Z,2021-09-25T23:28:41.381000Z,2021-09-26T00:22:10.071000Z,,2440,875B6695,96,"Afrikaans, English",25,Female,Black,South Africa,South Africa,South Africa,English,No,DATA_EXPIRED
614fa757b0d1d91c2b53ab96,5f16ce762a29d0000ba36acd,APPROVED,2021-09-25T22:48:58.035000Z,2021-09-25T23:07:02.463000Z,2021-09-25T23:13:49.426000Z,,1085,875B6695,45,"Portuguese, English",24,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
614fa79b89808b252b3cd5ae,614f22dfa54d9361b45c3052,APPROVED,2021-09-25T22:50:05.796000Z,2021-09-25T23:04:11.357000Z,2021-09-25T23:15:05.767000Z,,846,875B6695,1998,"English, Spanish",50,Male,White,United States,United States,United States,English,No,Other
614fa7a5d6b95bf9f593a852,613a831c9e95177eff4df9d5,APPROVED,2021-09-25T22:50:39.758000Z,2021-09-25T23:22:57.700000Z,2021-09-26T00:21:35.018000Z,,1938,875B6695,10,"Spanish, English",23,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,DATA_EXPIRED
