Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
61562b53760ad69fcffd3b32,6155adf4ee138fa287c8c688,APPROVED,2021-09-30T21:25:41.434000Z,2021-09-30T21:41:57.655000Z,2021-09-30T22:00:05.016000Z,,977,875B6695,44,"Arabic, English, French, German",26,Male,White,Switzerland,Switzerland,Switzerland,German,Yes,Part-Time
61562c28ad267c1f319e2ba5,61561dc057352a0550edbcb0,APPROVED,2021-09-30T21:29:14.655000Z,2021-09-30T21:54:43.054000Z,2021-09-30T22:00:32.524000Z,,1529,875B6695,121,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
61562c2c8dbf9043824b1c0f,61537cec23950ded33bf5f08,APPROVED,2021-09-30T21:29:19.650000Z,2021-09-30T21:47:29.142000Z,2021-09-30T22:00:41.579000Z,,1090,875B6695,62,English,20,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Due to start a new job within the next month
61562cbeba5b96efd9bd971f,614dbd2ae118e61a2c1439b8,APPROVED,2021-09-30T21:32:26.355000Z,2021-09-30T21:50:32.913000Z,2021-09-30T22:17:16.093000Z,,1087,875B6695,18,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
61562cfbf13176fe4e72a1de,6150e9356f2eee4187fa6f7d,APPROVED,2021-09-30T21:32:52.100000Z,2021-09-30T22:03:42.541000Z,2021-09-30T22:39:37.771000Z,,1851,875B6695,22,English,20,Male,Black,South Africa,South Africa,South Africa,English,Yes,Other
61562d255c200d3c1faf4e9e,5f1723a2c7874703ccd2572a,APPROVED,2021-09-30T21:33:36.259000Z,2021-09-30T21:55:27.297000Z,2021-09-30T22:18:25.196000Z,,1312,875B6695,34,"Polish, English",24,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
61562d98b120534e0d091fe1,61477fd6bf3410092abf263a,APPROVED,2021-09-30T21:35:22.208000Z,2021-09-30T21:49:56.076000Z,2021-09-30T22:17:23.847000Z,,874,875B6695,32,"English, Polish",20,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
61562db0e63e15381972d433,614f6401e65e0fcb5c496b8b,APPROVED,2021-09-30T21:35:48.590000Z,2021-09-30T21:56:23.454000Z,2021-09-30T22:01:32.053000Z,,1235,875B6695,68,"English, French, Spanish",19,Female,White,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
61562db81e42b0e89598beb9,6143f6b68ee536f27a212a5a,APPROVED,2021-09-30T21:36:00.784000Z,2021-09-30T21:52:26.946000Z,2021-09-30T22:17:59.439000Z,,987,875B6695,81,"Spanish, English",23,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
61562dbebf61f8bc50a04e7d,6154f3944aafae35e9e26b36,APPROVED,2021-09-30T21:36:08.729000Z,2021-09-30T22:22:40.232000Z,2021-09-30T22:39:35.370000Z,,2792,NOCODE,75,English,30,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time
