Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
61563d902585231289656fe2,614a35c6add3d34fbb0fd2be,APPROVED,2021-09-30T22:45:13.851000Z,2021-09-30T23:01:20.642000Z,2021-10-01T17:05:16.507000Z,,967,NOCODE,126,"Croatian, English, Dutch, German, Slovenian, Spanish",23,Male,White,Slovenia,Slovenia,Slovenia,English,Yes,Full-Time
61563dc941f03df6570fc834,61552c3c65c5d5e1870a2814,APPROVED,2021-09-30T22:44:41.871000Z,2021-09-30T23:00:42.809000Z,2021-10-01T16:59:23.378000Z,,961,875B6695,25,English,31,Male,White,New Zealand,New Zealand,New Zealand,English,Yes,DATA_EXPIRED
61563e9413efefba568c8778,6144be2608e5cf13171f0a7b,APPROVED,2021-09-30T22:49:09.585000Z,2021-09-30T23:09:20.483000Z,2021-10-01T17:05:18.681000Z,,1211,875B6695,6,"Afrikaans, English",25,Female,Mixed,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
61563f738322afce02cb2f86,5fbb0453be0cdb981ee08854,APPROVED,2021-09-30T22:51:31.558000Z,2021-09-30T23:17:28.240000Z,2021-10-01T17:06:29.235000Z,,1557,875B6695,45,"English, Spanish",29,Female,Other,Mexico,Mexico,Mexico,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6156402e3dc369fb39d48543,614a4887fd7dbb495e09ba96,APPROVED,2021-09-30T22:54:42.408000Z,2021-09-30T23:17:07.674000Z,2021-10-01T17:05:12.125000Z,,1346,NOCODE,53,English,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
6156408b62b760ff1a0594f9,613ace7054d1e8136610319c,APPROVED,2021-09-30T22:56:15.191000Z,2021-09-30T23:13:54.824000Z,2021-10-01T17:05:54.846000Z,,1060,875B6695,20,"Spanish, English",25,Female,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
615640e0c1cb4c8348da68b4,6151f17fa8e520d2ba325b9e,APPROVED,2021-09-30T22:57:44.346000Z,2021-09-30T23:36:29.091000Z,2021-10-01T17:01:19.958000Z,,2325,875B6695,84,English,22,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
61564101612c86559e7c56e0,613f8622afc3159b95d83ee1,APPROVED,2021-09-30T22:58:43.516000Z,2021-09-30T23:28:39.191000Z,2021-10-01T17:05:19.783000Z,,1796,875B6695,15,"English, Spanish",34,Female,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
61564101f18a3ca33dc91c11,6156114f01b0d68531a511a0,APPROVED,2021-09-30T22:58:09.691000Z,2021-09-30T23:10:44.496000Z,2021-10-01T16:58:54.963000Z,,755,875B6695,15,"English, Spanish",22,Female,Other,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
61564133ee2d8496081af91a,614b82fdf5b2a4d881e6e4c9,APPROVED,2021-09-30T22:59:13.095000Z,2021-09-30T23:27:57.650000Z,2021-10-01T17:05:00.337000Z,,1725,875B6695,12,"English, Spanish",23,Female,White,Mexico,Mexico,Mexico,Spanish,No,Unemployed (and job seeking)
615641539692e98e0d1f6e15,61466a9b26c5985a58b104de,APPROVED,2021-09-30T22:59:40.737000Z,2021-09-30T23:34:49.707000Z,2021-10-01T17:05:18.147000Z,,2109,875B6695,75,"English, Spanish",34,Female,Other,Mexico,Mexico,Mexico,Spanish,No,Due to start a new job within the next month
6156416398448eab7ebf2d62,614e33d39fa5395c5daf48d5,APPROVED,2021-09-30T22:59:47.592000Z,2021-09-30T23:12:47.415000Z,2021-10-01T17:04:59.211000Z,,780,875B6695,21,"English, Icelandic",45,Male,White,Iceland,Iceland,Iceland,Icelandic,DATA_EXPIRED,DATA_EXPIRED
61564177ee17ea5b665825a4,61560c5fa05b0b290128a716,APPROVED,2021-09-30T23:04:47.168000Z,2021-10-01T00:13:13.854000Z,2021-10-01T16:59:03.012000Z,,4107,875B6695,14,English,23,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
615641bc3af300ecb097a752,61537cec23950ded33bf5f08,APPROVED,2021-09-30T23:01:16.034000Z,2021-09-30T23:24:20.244000Z,2021-10-01T17:00:42.815000Z,,1385,875B6695,62,English,20,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Due to start a new job within the next month
615641ec9071ccdcaa58d820,61537d9393a3a4c9cb3873f7,APPROVED,2021-09-30T23:02:04.169000Z,2021-09-30T23:14:44.591000Z,2021-10-01T17:00:39.527000Z,,761,875B6695,35,"Spanish, English",21,Male,Other,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
6156422369f638c7e7cd4c5b,613a4dba66aad1536898a04b,APPROVED,2021-09-30T23:03:03.953000Z,2021-09-30T23:17:38.733000Z,2021-10-01T17:06:08.374000Z,,875,NOCODE,38,"English, Spanish",22,Female,White,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
61564239f821c051ba3597c0,6154269be4600733844ab8d7,REJECTED,2021-09-30T23:03:41.205000Z,2021-09-30T23:05:16.464000Z,2021-10-01T17:00:27.308000Z,,96,6154269be4600733844ab8d7,1,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6156423ba1b728c942a71fcf,615630f6686c2ea1a0766e23,APPROVED,2021-09-30T23:03:27.799000Z,2021-09-30T23:18:30.751000Z,2021-10-01T16:58:18.470000Z,,903,NOCODE,607,English,24,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6156423fdb66d43528f35407,614ff3bc96702c7a515b03d6,APPROVED,2021-09-30T23:03:29.255000Z,2021-09-30T23:17:14.142000Z,2021-10-01T17:01:34.680000Z,,825,NOCODE,40,English,27,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
615642855bb96078e613438c,614fabcccf0bcb5c949e7315,APPROVED,2021-09-30T23:04:41.997000Z,2021-09-30T23:38:39.990000Z,2021-10-01T17:12:52.206000Z,,2038,NOCODE,3,English,21,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
