,id,prolificID,jspsychID,time_elapse,cause_agent,cause_patient,cause_agent_rt,cause_patient_rt,anim_check,tower_check,agent_check,sub_feedback1,sub_feedback2,subject_id,date,completion,compelete_time,exp_cond,num_moves_cause_agent,agent,num_moves_cause_patient,patient,animacy,norm_violation
0,1,611c38d3b886cf2d7b5c78aa,sddnahfs0g5zue1,41157.0,[44],[58],[21834.29999923706],[23462.10000038147],1,1,0,"the pink ball actually hit the tower, but the green ball did hit the pink one, however i think the pink ball would have hit the tower even without the green ball",no,1,2021-11-29 10:50:44.541681,1,,"['inanimate', 'rational']",1,44,1,58,inanimate,rational
1,2,57ca2f6c6736cf0001b32017,swzox5yalc48eqb,57510.0,[0],[100],[16614.900000000373],[19307.5],1,1,0,,,3,2021-11-29 10:51:45.979928,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
2,3,613a5e4e74f66e21b094654b,mlod6bpwjya4vrp,62235.0,"[50, 0]","[100, 100]","[18820.799999952316, 21421.299999952316]","[24275.400000095367, 27223.799999952316]",1,1,0,watched the clip several times over.,No,5,2021-11-29 10:52:16.204260,1,,"['inanimate', 'rational']",2,0,2,100,inanimate,rational
3,5,5ea92b1506b31a000c9f5248,88c1ubkx9ljf4pa,46894.0,"[14, 30]",[67],"[18466, 21960]",[23345],1,1,0,The ball that hit the tower first was the one mainly responsible for causing the tower to fall.,I had no issues and thought it was a good task.,6,2021-11-29 10:53:04.317946,1,,"['inanimate', 'rational']",2,30,1,67,inanimate,rational
4,6,59307217e7866d000161868d,pakc6cyefuhvase,34054.0,[79],[49],[14824.099999904633],[20535.299999952316],1,1,0,Thinking if the green wasn't as forceful pink would not have the power to make it fall,no,2,2021-11-29 10:51:03.921979,1,,"['inanimate', 'rational']",1,79,1,49,inanimate,rational
5,7,5d1f56509b5c2a00014bb17d,k6jnsnjyatv7yvh,54841.0,[0],[100],[20361.599999904633],[23181.599999904633],1,1,0,I considered which ball made contact with the tower,,8,2021-11-29 10:54:06.551243,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
6,8,6054954c92cb084f6ef88412,6fdwo2ug0qol391,55980.0,[63],[60],[20226.20000000298],[24605.70000000298],1,1,0,which balls went where,,7,2021-11-29 10:54:03.617097,1,,"['inanimate', 'rational']",1,63,1,60,inanimate,rational
7,9,5f51f05354863a44677a2eef,41h6bmmjoleqf4e,79624.0,[34],[66],[29221.999999999993],[32061.999999999993],1,1,0,Force that ball hit the tower and if one hitting the other impacted the force,,10,2021-11-29 10:56:25.982134,1,,"['inanimate', 'rational']",1,34,1,66,inanimate,rational
8,10,5a4e95373646f90001741ad8,j3ex8ug509ff0a8,52436.0,[0],[94],[21605.60000000149],[25805.700000001118],1,1,0,the pattern the balls went in,,13,2021-11-29 10:57:24.235138,1,,"['inanimate', 'rational']",1,0,1,94,inanimate,rational
9,11,5f312d93ad7a2d5c8534c532,bgkud9h7341cv5z,70314.0,[0],[100],[21754.39999999106],[28352.29999999702],1,1,0,I witnessed the pink ball hit the base of the tower causing it to collapse completely and the green ball had no part in its collapse; it was merely following behind the pink ball,No,12,2021-11-29 10:57:22.209059,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
10,12,6010042fdf8af32456feb724,trgx1a1yb7enmue,71686.0,[3],"[98, 98]",[29208.40000000596],"[32784.29999999702, 32884.09999999404]",1,1,0,I watched the videos three times and tried to remember them.,Fun task. I enjoyed it.,14,2021-11-29 10:57:27.101151,1,,"['inanimate', 'rational']",1,3,2,98,inanimate,rational
11,13,6148665b05a7ad918aeb439d,26rm4s8m5bmumdm,53639.0,[20],[66],[29819.799999713898],[31135.799999713898],1,1,0,Speed of the pink ball on it's own would knock down the tower ,All worked fine,15,2021-11-29 10:58:01.305040,1,,"['inanimate', 'rational']",1,20,1,66,inanimate,rational
12,14,60184e74b5e73a0a4be5fae4,5j5swklqmkynr4v,54537.0,"[55, 30, 29, 14]",[66],"[17043, 20219, 29969, 37293]",[35502.00000000001],1,1,0,I considered the path that pink was already on. ,N.A,16,2021-11-29 10:58:53.166871,1,,"['inanimate', 'rational']",4,14,1,66,inanimate,rational
13,15,61292e6f2959a51f36768169,w30rtx1jh9fstpu,42394.0,[76],[29],[17120.599999904633],[20640.39999985695],1,1,0,,,17,2021-11-29 10:59:18.562129,1,,"['inanimate', 'rational']",1,76,1,29,inanimate,rational
14,16,5ffddf62a9ce783d6ae3a7dc,y3b6xz3s6mv4ws0,58139.0,[71],[34],[30271.5],[38138.200000047684],1,1,0,speed of balls and position,fine,18,2021-11-29 10:59:55.157742,1,,"['inanimate', 'rational']",1,71,1,34,inanimate,rational
15,17,5d893e68f58b17000184839f,b35ly0d62uav14r,41042.0,"[28, 28]","[67, 75]","[20629, 20830]","[17716, 18313.000000000007]",1,1,0,"The pink ball was heading towards the tower anyway, the green one just sped it up",no difficulties ,22,2021-11-29 11:00:21.415253,1,,"['inanimate', 'rational']",2,28,2,75,inanimate,rational
16,18,616dc6ff27f44b3680655f3d,jj8u077fzq8sfqc,60196.0,[62],[56],[38141.10000000894],[39753.10000000894],1,1,0,How quick the balls were moving and if one factor was different would it have changed the outcome ,no,20,2021-11-29 11:00:18.606104,1,,"['inanimate', 'rational']",1,62,1,56,inanimate,rational
17,19,5d4ca200112f830018026945,28j8y17m26kpjve,64863.0,[24],[68],[29541.80000001192],[34173],1,1,0,"Pink was the first to hit, although nudge by green it was still at a pace to do damage alone",N/A,21,2021-11-29 11:00:20.234347,1,,"['inanimate', 'rational']",1,24,1,68,inanimate,rational
18,20,5f75fa8d298a610126ce1f60,rtbdzgs3pynjuu5,68512.0,[82],[28],[37514.80000001192],[39506.60000002384],1,1,0,"I felt like the pink would have reached the tower, but would most likely not have enough force to knock it down. As such the green ball knocking into it, caused it to speed up and having enough force to knock it down. ",I didn't understand why we were showed the first video but not asked about what we were seeing. ,25,2021-11-29 11:00:52.598490,1,,"['inanimate', 'rational']",1,82,1,28,inanimate,rational
19,21,614dba0c37c693d1a1b66e47,46dnazty5hd8bjm,57704.0,[7],[100],[30012.799999952316],[34700.699999809265],1,1,0,if pink would have collapsed the tower without green,No technical difficulties,26,2021-11-29 11:01:37.018014,1,,"['inanimate', 'rational']",1,7,1,100,inanimate,rational
20,22,600bfa88b135b82bdf3dcc36,50ey2pkz0wehr77,57257.0,[20],[93],[21317.900000095367],[24497.599999904633],1,1,0,Pink was the one that collided with the tower and would have done so anyway had the green ball not bumped into it. ,,27,2021-11-29 11:01:46.979031,1,,"['inanimate', 'rational']",1,20,1,93,inanimate,rational
21,23,5fecca5ab9b6099d6216271b,oo0a9mvvy0vwhm1,40305.0,[67],[51],[16973.800000071526],[23487.200000047684],1,1,0,The flow of the balls and what colour was evident ,no easy to understand ,35,2021-11-29 11:02:27.111153,1,,"['inanimate', 'rational']",1,67,1,51,inanimate,rational
22,24,610814d52974ad90f90174f7,0s7cm1duq1tuld7,156928.0,"[56, 58]",[52],"[16153.899999976158, 18175.100000023842]",[21977.799999952316],1,1,0,Both balls were already travelling toward the tower but green was travelling at a faster pace.,No issues.,24,2021-11-29 11:00:42.463225,1,,"['inanimate', 'rational']",2,58,1,52,inanimate,rational
23,25,604f745600575d90c196a265,ego7f0mvgxeocg4,138661.0,[60],"[57, 55]",[43755.299999952316],"[50625, 69694.20000004768]",1,1,0,Which one hit the tower and the series of events that caused it ,no,23,2021-11-29 11:00:39.571928,1,,"['inanimate', 'rational']",1,60,2,55,inanimate,rational
24,26,576fc3462984e70001a97fc3,9sgatpso5c67zas,85958.0,"[54, 58, 67, 69]","[57, 59]","[28891.400000002235, 30451.400000002235, 40324.800000000745, 47622.699999999255]","[45608.699999999255, 49302.400000002235]",1,1,0,"The speed of the balls, what ball hit the tower first, how the collision of the balls affected speed/momentum.",No technical difficulties. The task got me thinking about cause and effect.,30,2021-11-29 11:02:00.647046,1,,"['inanimate', 'rational']",4,69,2,59,inanimate,rational
25,27,5b956b0fdd5484000158b92b,05g2ctg5ujnddwj,103493.0,[73],[37],[22308.199999999255],[24537],1,1,0,used by own experiences,no,28,2021-11-29 11:01:51.496428,1,,"['inanimate', 'rational']",1,73,1,37,inanimate,rational
26,28,5b79e92cdb11320001c3d5da,pznzg549gcjnsm4,106523.0,[0],[100],[27819.89999999851],[30867.29999999702],1,1,0,by watching the video & seeing which ball hit first,none,29,2021-11-29 11:01:51.899000,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
27,29,5fdefba80f157d6e16fa59e1,agrmklzeqfhuvvj,77090.0,"[80, 88, 100]","[76, 95, 100]","[17597.600000023842, 20430.200000047684, 29734]","[25192.600000023842, 27911.800000071526, 28505.400000095367]",1,1,0,"By watching the first video a few times to get a recollection, easy to see what happened with second","No, it went wonderful! thank you",37,2021-11-29 11:02:34.467776,1,,"['inanimate', 'rational']",3,100,3,100,inanimate,rational
28,30,60f71edb04ec0549b5aa1711,0sj2tjkdvmofpot,74876.0,[0],[99],[16962.800000000745],[19078.39999999851],1,1,0,both balls collided,no,36,2021-11-29 11:02:31.233050,1,,"['inanimate', 'rational']",1,0,1,99,inanimate,rational
29,32,610437d611b18ed805f0b09c,ehfbou3ezf9m8q9,106140.0,"[33, 27]",[61],"[70315, 71616.70000004768]",[73602.59999990463],1,1,0,"How fast the balls were going, the direction",,32,2021-11-29 11:02:14.035770,1,,"['inanimate', 'rational']",2,27,1,61,inanimate,rational
30,33,61157995e3d65c1e19cf9e9f,c6z96kx2767fhtu,47927.0,[0],[100],[16893.60000000149],[19565.10000000149],1,1,0,which colour hit the tower first,,42,2021-11-29 11:03:14.818446,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
31,34,5fe2672ce7a1d2df1d2cc0ba,3706hk4tbrsvrqu,53760.0,[31],[75],[17301.5],[27715],1,1,0,speed of each colour and impact that each had,n/a,41,2021-11-29 11:03:12.246332,1,,"['inanimate', 'rational']",1,31,1,75,inanimate,rational
32,35,5c33c5c6a83d180001782ce6,tlm9b401pbordfh,49821.0,[60],[51],[28021.19999998808],[29721.899999976158],1,1,0,I watched them carefully and thought about what they showed,,44,2021-11-29 11:03:24.816270,1,,"['inanimate', 'rational']",1,60,1,51,inanimate,rational
33,36,603e9ba14f6f7c0d3b1cbee5,q4800you7z5ycz5,55828.0,[61],[48],[18889.200000047684],[28353.200000047684],1,1,0,"Watched the video a couple of times, the pink ball wouldn't have caused the whole block to collapse by itself",Nothing strange or confusing springs to mind,43,2021-11-29 11:03:15.203382,1,,"['inanimate', 'rational']",1,61,1,48,inanimate,rational
