session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61a5058392283a2d857f976b,60f2ec03523f3fb746b23807,APPROVED,2021-11-29 17:01:30.398000,2021-11-29 17:04:16.131000,165.733,34,99,0,100,2021-11-29 17:05:07.219000,42446E38,United Kingdom,United Kingdom,Due to start a new job within the next month,English,United Kingdom,Female,No
61a505c6ecd50cb71b16b1a6,60fdf2f6556ee1578c556d12,APPROVED,2021-11-29 16:54:32.670000,2021-11-29 16:57:22.071000,169.401,31,56,1,99,2021-11-29 17:02:07.707000,42446E38,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61a505d02daca1a38c85080d,61172f5a46ad53742ee8e316,APPROVED,2021-11-29 16:54:42.221000,2021-11-29 16:56:30.145000,107.924,21,154,1,100,2021-11-29 17:02:07.632000,42446E38,United States,United States,Part-Time,English,United States,Female,Yes
61a505d7d19ce4fd6ef00177,55881a68fdf99b1c9154fe4a,APPROVED,2021-11-29 16:54:47.656000,2021-11-29 17:03:53.387000,545.731,43,1304,18,99,2021-11-29 17:05:08.193000,42446E38,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
61a505fb1b442064e71ca0ea,59ee44b13e4b5a00016aa99b,APPROVED,2021-11-29 16:55:23.945000,2021-11-29 17:00:54.915000,330.97,46,799,12,97,2021-11-29 17:02:07.546000,42446E38,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
61a50612a113bdc9b8cefc22,590b3401182caf0001ab5801,RETURNED,2021-11-29 16:55:51.206000,,2608.580352,45,428,4,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61a5061358137c5cb7f701ba,5fa11b002616091abfbb37ab,APPROVED,2021-11-29 16:55:51.179000,2021-11-29 16:58:48.553000,177.374,25,135,2,100,2021-11-29 17:02:07.435000,42446E38,South Africa,South Africa,Part-Time,English,South Africa,Female,No
61a5061ce6361a4f0d739615,5e5b96a514a6a43730f9af66,APPROVED,2021-11-29 16:55:58.001000,2021-11-29 16:58:00.086000,122.085,21,94,0,100,2021-11-29 17:02:07.356000,42446E38,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,Yes
61a5063768b585e31decf12e,60155bfca5f93a600802aa94,APPROVED,2021-11-29 16:56:50.388000,2021-11-29 16:58:39.968000,109.58,29,246,2,100,2021-11-29 17:02:07.216000,42446E38,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61a506474d540f217f43db3a,5d6d94cb05e6930001a1464d,APPROVED,2021-11-29 16:56:42.355000,2021-11-29 17:00:59.615000,257.26,31,496,1,100,2021-11-29 17:02:07.288000,42446E38,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61a5065075c9b1faee271282,60ba9d25a3e9cd81e0bc2f40,ACTIVE,2021-11-29 16:57:10.741000,,2529.149873,22,55,1,100,,,South Africa,South Africa,Unemployed (and job seeking),English,South Africa,Female,No
61a50679d61b2d5bee69eeb6,60b62b9daab749081c5b88f0,APPROVED,2021-11-29 16:57:29.961000,2021-11-29 17:02:07.100000,277.139,20,61,1,99,2021-11-29 17:11:46.031000,42446E38,DATA EXPIRED,South Africa,Other,English,South Africa,Male,Yes
61a50699df1b77ce17e65416,5995aee73ae1c8000110650d,APPROVED,2021-11-29 16:58:11.765000,2021-11-29 17:02:59.685000,287.92,41,646,0,100,2021-11-29 17:05:08.103000,42446E38,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
61a506a3ea7982acfa8c9d8f,57d3d904f89a210001188e3a,APPROVED,2021-11-29 16:58:23.893000,2021-11-29 17:04:07.801000,343.908,51,1141,4,100,2021-11-29 17:05:08.015000,42446E38,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
61a506ab337cfc08b83518e5,5ce575e4fc370e001a34715a,APPROVED,2021-11-29 17:00:37.987000,2021-11-29 17:04:48.577000,250.59,29,385,2,99,2021-11-29 17:05:07.618000,42446E38,Canada,Canada,DATA EXPIRED,English,Canada,Female,DATA EXPIRED
61a506c3af2cd25f7cf64795,615e5c6d8ff89265aebb0fca,APPROVED,2021-11-29 16:58:50.212000,2021-11-29 17:09:13.393000,623.181,26,42,1,100,2021-11-29 17:11:45.954000,42446E38,Australia,Australia,Part-Time,English,Australia,Female,No
61a506e40590f7e7033a64f5,60ed87a02314cd5d1721c163,APPROVED,2021-11-29 16:59:28.231000,2021-11-29 17:04:53.195000,324.964,52,50,0,100,2021-11-29 17:05:07.922000,42446E38,Canada,Canada,Unemployed (and job seeking),English,Canada,Female,No
