session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
618da81b67c7a9167feedfcf,6127e3cf893829d55b589dc6,APPROVED,2021-11-11 23:32:45.170000,2021-11-11 23:34:39.179000,114.009,27,52,0,100,2021-11-12 01:26:30.555000,23A77FAD,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
618daadfcb398856813cf829,5ec14d4494307605741ee864,APPROVED,2021-11-11 23:44:35.841000,2021-11-11 23:48:27.589000,231.748,19,25,0,100,2021-11-12 01:26:28.596000,23A77FAD,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,No
618db26ade665501555fa8b7,5ed143e198104907078be5d1,APPROVED,2021-11-12 00:16:43.712000,2021-11-12 00:20:53.038000,249.326,22,37,0,100,2021-11-12 01:26:25.402000,23A77FAD,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Male,No
618db439398a8e875008f22b,5991a1b58380cc00012a3dc4,APPROVED,2021-11-12 00:33:11.164000,2021-11-12 00:39:18.099000,366.935,42,91,0,100,2021-11-12 01:26:23.930000,23A77FAD,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,DATA EXPIRED
618dbbb71df612bb2cbabb8a,613a7b243bebca4ebf117949,APPROVED,2021-11-12 00:58:03.265000,2021-11-12 01:01:23.497000,200.232,35,24,0,100,2021-11-12 01:26:17.581000,23A77FAD,Ukraine,Canada,Part-Time,English,Canada,Female,No
618dbbbd041305a69813e6c5,610df62f71a7aa2160f887a4,APPROVED,2021-11-12 00:56:32.019000,2021-11-12 00:59:33.448000,181.429,39,6,0,100,2021-11-12 01:26:20.890000,23A77FAD,Australia,Australia,Part-Time,English,Australia,Female,No
618dbbf492bffd45124a6d75,611dc15ff803418af46a3e9a,APPROVED,2021-11-12 00:57:30.239000,2021-11-12 01:00:29.316000,179.077,18,13,0,100,2021-11-12 01:26:19.147000,23A77FAD,Canada,Canada,DATA EXPIRED,English,Canada,Female,No
618dbc56729751e3335458ee,6036ada488d8ef4a3481901e,APPROVED,2021-11-12 00:59:13.839000,2021-11-12 01:06:34.194000,440.355,24,87,0,100,2021-11-12 01:26:15.743000,23A77FAD,Ireland,Ireland,Unemployed (and job seeking),English,Ireland,Male,No
618dbef9ddb7b66b1ae25267,615032d02834ae0577eab6f4,APPROVED,2021-11-12 01:10:22.805000,2021-11-12 01:14:23.902000,241.097,50,33,1,99,2021-11-12 01:26:11.290000,23A77FAD,Canada,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,Canada,Male,No
618dc4fe709c7aef62b9f0ac,6122ba16327b658569f2b77b,APPROVED,2021-11-12 01:36:02.588000,2021-11-12 01:39:29.823000,207.235,32,52,0,100,2021-11-12 03:13:55.581000,23A77FAD,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
618dc53c876a9ebe9e3de123,5fc4a01dc02ae8485c400ebf,APPROVED,2021-11-12 01:37:04.060000,2021-11-12 01:38:56.268000,112.208,43,231,4,96,2021-11-12 02:14:00.938000,23A77FAD,United Kingdom,Japan,Full-Time,English,United Kingdom,Male,No
