session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61a4f6b2d959ea2419febade,6102ca13248734074c6fb8c9,RETURNED,2021-11-29 16:00:10.915000,,2280.13354,21,50,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61a4f6cafced52f371eb674a,59307217e7866d000161868d,APPROVED,2021-11-29 15:50:34.183000,2021-11-29 15:56:33.556000,359.373,54,264,2,100,2021-11-29 16:00:56.977000,6BF0ED4F,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
61a4f6cd529142d4f518e3fb,611c38d3b886cf2d7b5c78aa,APPROVED,2021-11-29 15:50:39.720000,2021-11-29 15:52:34.435000,114.715,34,90,1,100,2021-11-29 16:00:56.882000,6BF0ED4F,United States,United States,Part-Time,English,United States,Female,Yes
61a4f703f9f9f2880b2f579b,57ca2f6c6736cf0001b32017,APPROVED,2021-11-29 15:51:34.738000,2021-11-29 15:54:17.170000,162.432,46,66,0,100,2021-11-29 16:00:56.809000,6BF0ED4F,Canada,Canada,DATA EXPIRED,English,Canada,Female,DATA EXPIRED
61a4f70f1003189b11d31ef7,60b0cac3c6533bac7605471f,RETURNED,2021-11-29 15:51:57.240000,,2773.92986,28,48,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61a4f713dd9e410b6c845bcd,613a5e4e74f66e21b094654b,APPROVED,2021-11-29 15:51:50.528000,2021-11-29 15:54:44.556000,174.028,27,101,0,100,2021-11-29 16:00:56.728000,6BF0ED4F,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61a4f75991719caa511c2357,5ea92b1506b31a000c9f5248,APPROVED,2021-11-29 15:52:59.309000,2021-11-29 15:56:10.295000,190.986,24,223,0,100,2021-11-29 16:09:03.813000,6BF0ED4F,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,Yes
61a4f78feb126f8a870ffdc5,6054954c92cb084f6ef88412,APPROVED,2021-11-29 15:53:52.759000,2021-11-29 15:55:59.448000,126.689,20,64,2,98,2021-11-29 16:00:56.650000,6BF0ED4F,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
61a4f795662ea15931d991f3,5d1f56509b5c2a00014bb17d,APPROVED,2021-11-29 15:53:59.462000,2021-11-29 15:55:55.599000,116.137,31,69,1,100,2021-11-29 16:00:56.566000,6BF0ED4F,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
61a4f796143e3812d74b0835,5df3c01761b48a295ffba48f,APPROVED,2021-11-29 15:54:00.647000,2021-11-29 15:57:54.220000,233.573,54,323,0,100,2021-11-29 16:20:51.121000,NOCODE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
