,id,prolificID,jspsychID,time_elapse,stim1,stim2,Q0,Q1,Q2,Q3,Q0_rt,Q1_rt,Q2_rt,Q3_rt,anim_check,tower_check,agent_check,sub_feedback1,sub_feedback2,subject_id,date,completion,compelete_time,condition,num_movesQ0,QQ0,num_movesQ1,QQ1,num_movesQ2,QQ2,num_movesQ3,QQ3
0,1,5ed904c2bc8c1143e3e1a3fd,ob4ym5km2uwybyd,64443.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],[80],[64],[55],[24803.300000000745],[28540.300000000745],[31958.599999997765],[36660.39999999851],1,1,1,Position of both balls. Also considering the impact of green's own mistakes while protecting.,no issues,1,2021-12-13 14:11:29.496577,1,,animate_rational,1,0,1,80,1,64,1,55
1,2,602ee3b62e34a2b511c23dc4,sr7hrmauyf7hegz,95776.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[10],[22],[100],[60],[28178.900000035763],[33610.40000003576],[36750.60000002384],[42758.700000047684],1,1,1,"I mostly considered the fact that I was told green wanted to protect the tower, but seemed to then influence the event where it runs into the pink ball which destroys the tower.",No difficulties and I didn't find it confusing.,2,2021-12-13 14:12:56.862108,1,,animate_rational,1,10,1,22,1,100,1,60
2,3,5f567b43fe297c0afa22468a,vqmh1ckpkzscy3k,114227.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],[100],"[57, 62]","[64, 62]",[32158.799999952316],[40395.299999952316],"[52792.10000002384, 65306.299999952316]","[61812.799999952316, 67720.5]",1,1,1,"the strategies each color used, for example how they moved, if they had an offensive/defensive strategy. ",NO difficulties ,4,2021-12-13 14:13:46.436049,1,,animate_rational,1,0,1,100,2,62,2,62
3,4,60bf58fdf814d2c749a35458,jqxvpwtx3rpa6j8,124109.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[17],[85],[96],[73],[45958],[55924],[67197],[81556],1,1,1,which ball was supposed to do what and how it was supposed to do it,it was a fun task,3,2021-12-13 14:13:29.378575,1,,animate_rational,1,17,1,85,1,96,1,73
4,5,596de39c9fd5ee0001b704c3,pq4abxe2ffz3h2d,82136.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[50],[100],[89],[79],[29991.799999998882],[35330.29999999888],[42555.79999999888],[46825.39999999851],1,1,1,movements and information given,no all good,5,2021-12-13 14:14:52.654404,1,,animate_rational,1,50,1,100,1,89,1,79
5,6,61109dc89f0919c20acd4fde,up53nevopmoh0p7,76459.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,"[21, 10]",[79],"[26, 26]",[55],"[23582, 25016.700000000186]",[29504.700000000186],"[39253, 40376.5]",[48125.60000000056],1,1,1,"the upper caption, the way the green ball was tending to the tower ","no difficulties, very straight forward ",6,2021-12-13 14:15:35.266752,1,,animate_rational,2,10,1,79,2,26,1,55
6,7,5a169a0eff266c0001d210a2,n3btpc62jaqyztc,66870.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[100],[8],[87],[9],[17733.050000009825],[26235.2200000023],[31715.095000021392],[37861.095000000205],1,1,1,How fast the balls were travelling,n/a,10,2021-12-13 14:17:12.056767,1,,animate_rational,1,100,1,8,1,87,1,9
7,8,613f69da6ef492ba52e7c03b,18gmd66uxrf2tby,92788.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,"[100, 2, 1, 0]",[71],[100],[100],"[26653.59999999404, 37853, 38493, 38965]",[58829.59999999404],[62133.20000000298],[69373.79999999702],1,1,1,"I saw that pink was already moving towards the tower before green even touched it. Also, I saw green knew how to move in an intelligent manner to build its tower but I expected it to stop pink from colliding",Not confusing in any way,9,2021-12-13 14:16:53.674036,1,,animate_rational,4,0,1,71,1,100,1,100
8,9,60a546b01830edd7fea03131,405bcnxr0m5zype,98565.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[78],[100],[77],[77],[50488.19999999553],[55724.10000000149],[61577.69999999553],[67665.60000000149],1,1,1,I thought that because Green was chasing Pink that Pink got faster and collided with the tower harder. And if Green had swerved in front of Pink then Pink's course would have altered,"No, everything was fine",7,2021-12-13 14:16:45.576020,1,,animate_rational,1,78,1,100,1,77,1,77
9,11,60784c0aa62f84a2f2312c30,uwl0z7xoz1rpsvn,56304.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[69],[100],[49],[77],[21481.400000035763],[24905.400000035763],[31785.600000023842],[35506.19999998808],1,1,1,What it showed in the video,All worked well,12,2021-12-13 14:18:38.462491,1,,animate_rational,1,69,1,100,1,49,1,77
