session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61b7b06933a8454c1c36c426,5f345b72710476368f1bc455,APPROVED,2021-12-13 20:43:23.827000,2021-12-13 20:44:46.660000,82.833,22,153,3,99,2021-12-13 20:58:56.395000,94C0A878,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
61b7b0a533a8454c1c36c427,613e2936fdb212342daee195,APPROVED,2021-12-13 20:44:25.097000,2021-12-13 20:46:23.448000,118.351,33,127,0,100,2021-12-13 20:58:56.322000,94C0A878,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
61b7b0b366b2b07464e10673,60c7360f03fbda9ebec3fe6f,TIMED-OUT,2021-12-13 20:44:35.942000,,6873.294334,21,46,1,100,,,South Africa,South Africa,Part-Time,English,South Africa,Female,Yes
61b7b1012dd3a01aa7ab27c2,6108ba04ebaf050fcba81719,APPROVED,2021-12-13 20:45:56.288000,2021-12-13 20:51:21.057000,324.769,20,53,0,100,2021-12-13 20:58:56.253000,94C0A878,Sri Lanka,Canada,Unemployed (and job seeking),English,Sri Lanka,Female,Yes
61b7b11ed294d24bedb878d6,5f9d4a6a428ebf253767a1b3,APPROVED,2021-12-13 20:46:25.535000,2021-12-13 20:48:48.771000,143.236,24,48,0,100,2021-12-13 20:58:56.178000,94C0A878,India,South Africa,DATA EXPIRED,English,India,Male,DATA EXPIRED
61b7b12029352bffc6bb7dbe,5f61ba7cfdaccd165da6985b,APPROVED,2021-12-13 20:46:24.021000,2021-12-13 20:50:39.551000,255.53,44,199,0,100,2021-12-13 21:12:15.380000,94C0A878,New Zealand,New Zealand,DATA EXPIRED,English,New Zealand,Male,DATA EXPIRED
61b7b1740e1e909dd9534b83,6147539b00c6232dc29b5f4e,APPROVED,2021-12-13 20:47:51.294000,2021-12-13 20:50:13.844000,142.55,26,99,1,100,2021-12-13 20:58:56.098000,94C0A878,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes
61b7b17e4ffaaa190c720824,5eeadfc8f9a5a9206e2a5841,APPROVED,2021-12-13 20:48:05.511000,2021-12-13 20:52:23.930000,258.419,31,98,2,99,2021-12-13 20:58:56.012000,94C0A878,New Zealand,New Zealand,Part-Time,English,New Zealand,Female,No
61b7b190e28f343a7e0c4eec,60fd40ec68ad5cc39b5c5dd6,APPROVED,2021-12-13 20:48:18.605000,2021-12-13 20:50:34.926000,136.321,20,50,0,100,2021-12-13 20:58:55.922000,94C0A878,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
61b7b1926572326ca0923b94,5f5aac0291f8b61a084d1bd6,APPROVED,2021-12-13 20:49:29.899000,2021-12-13 20:53:02.648000,212.749,27,67,0,100,2021-12-13 20:58:55.768000,94C0A878,New Zealand,New Zealand,Part-Time,English,New Zealand,Female,No
61b7b19711a9bbc47b400afb,5db7565e4b4d37000e5ec635,TIMED-OUT,2021-12-13 20:48:31.469000,,6637.960351,29,360,5,97,,,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
61b7b19b47338253fa470100,5f51928b9cd7773e67c1f84a,APPROVED,2021-12-13 20:48:30.725000,2021-12-13 20:55:15.170000,404.445,36,221,0,100,2021-12-13 20:58:55.839000,94C0A878,New Zealand,New Zealand,DATA EXPIRED,English,New Zealand,Male,DATA EXPIRED
61b7b19fcb2bbdf19e416849,5fe8f45ec92b3680e2a0bcef,RETURNED,2021-12-13 20:48:31.081000,,6638.378169,34,175,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61b7b220d37e512ce7e8ed6e,5cea26087afd86001a34a5db,APPROVED,2021-12-13 20:50:42.203000,2021-12-13 20:52:49.577000,127.374,36,433,3,100,2021-12-13 20:58:55.673000,94C0A878,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
61b7b2284052aef23df280b0,5fef10fbbf9ae41f48f739ee,APPROVED,2021-12-13 20:50:49.477000,2021-12-13 20:52:36.491000,107.014,28,211,2,100,2021-12-13 20:58:55.596000,94C0A878,United Kingdom,United Kingdom,Due to start a new job within the next month,English,United Kingdom,Female,No
61b7b24b4734518cdb511eb5,5c0fe0a90ffbc700019620f1,APPROVED,2021-12-13 20:51:30.039000,2021-12-13 20:56:12.990000,282.951,41,220,1,100,2021-12-13 20:58:55.505000,94C0A878,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
