session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61b79ac62cc07fac143f1800,5ed904c2bc8c1143e3e1a3fd,APPROVED,2021-12-13 19:11:08.012000,2021-12-13 19:13:41.877000,153.865,22,91,0,100,2021-12-13 19:24:51.768000,94C0A878,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61b79af4fa9674bec65668f6,5f567b43fe297c0afa22468a,APPROVED,2021-12-13 19:11:58.005000,2021-12-13 19:18:14.132000,376.127,20,107,0,100,2021-12-13 19:24:51.670000,94C0A878,South Africa,South Africa,Part-Time,English,South Africa,Female,Yes
61b79b0d9ac50f8b7ec59c70,602ee3b62e34a2b511c23dc4,APPROVED,2021-12-13 19:12:16.362000,2021-12-13 19:18:48.384000,392.022,26,105,0,100,2021-12-13 19:24:51.572000,94C0A878,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
61b79b2b3cb659ebed188307,60bf58fdf814d2c749a35458,APPROVED,2021-12-13 19:12:43.845000,2021-12-13 19:18:12.133000,328.288,33,64,0,100,2021-12-13 19:24:51.456000,94C0A878,Zimbabwe,South Africa,DATA EXPIRED,English,DATA EXPIRED,Male,DATA EXPIRED
61b79b61bfd7566d8df645ee,61109dc89f0919c20acd4fde,APPROVED,2021-12-13 19:13:49.640000,2021-12-13 19:20:51.882000,422.242,22,16,0,100,2021-12-13 19:24:51.365000,94C0A878,United States,United States,DATA EXPIRED,English,United States,Female,Yes
61b79b920305c765bb372ddc,596de39c9fd5ee0001b704c3,APPROVED,2021-12-13 19:14:34.361000,2021-12-13 19:18:19.053000,224.692,54,840,9,99,2021-12-13 19:24:51.275000,94C0A878,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
61b79bbd5e39bebbe6c5822e,60618b3bff746e7fbfc84910,APPROVED,2021-12-13 19:20:46.007000,2021-12-13 19:29:31.248000,525.241,25,36,1,100,2021-12-13 19:35:46.803000,94C0A878,South Africa,South Africa,DATA EXPIRED,English,South Africa,Female,DATA EXPIRED
61b79bfc112ef43787d6c883,60a546b01830edd7fea03131,APPROVED,2021-12-13 19:16:16.996000,2021-12-13 19:22:27.089000,370.093,48,74,0,100,2021-12-13 19:24:51.178000,94C0A878,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
61b79c08fabf12544adeda0c,5c8644c572a7ef00127833d9,APPROVED,2021-12-13 19:16:27.388000,2021-12-13 19:22:07.111000,339.723,29,99,0,100,2021-12-13 19:24:51.088000,94C0A878,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
61b79c12084c583613f89e0f,613f69da6ef492ba52e7c03b,APPROVED,2021-12-13 19:16:36.824000,2021-12-13 19:20:53.552000,256.728,23,58,0,100,2021-12-13 19:24:50.996000,94C0A878,Canada,Canada,Other,English,Canada,Female,Yes
61b79c2d5e39bebbe6c58236,60fd12b7c6659dbf9040ae31,APPROVED,2021-12-13 19:18:23.762000,2021-12-13 19:22:04.163000,220.401,26,32,1,99,2021-12-13 19:24:50.602000,94C0A878,Ireland,Ireland,Unemployed (and job seeking),English,Ireland,Female,No
61b79c321bf4f8371e5c8638,5a169a0eff266c0001d210a2,APPROVED,2021-12-13 19:17:08.358000,2021-12-13 19:19:02.313000,113.955,37,231,1,100,2021-12-13 19:24:50.889000,94C0A878,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
