session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61b7c8f955b26fd6540f7e0c,60b9585537f22407ad740a00,APPROVED,2021-12-13 22:28:23.540000,2021-12-13 22:33:47.957000,324.417,36,80,0,100,2021-12-13 22:39:38.328000,94C0A878,Ireland,Ireland,DATA EXPIRED,English,Ireland,Female,DATA EXPIRED
61b7c90599a07a5ef154ed82,610e4fb281cfbf0d43c41a17,APPROVED,2021-12-13 22:28:21.615000,2021-12-13 22:31:44.318000,202.703,42,78,1,100,2021-12-13 22:39:38.395000,94C0A878,Canada,Canada,Other,English,Canada,Male,No
61b7c936fc061aa90f28d985,5d359e9d45243d0019fcc88d,RETURNED,2021-12-13 22:29:10.571000,,59621.465327,26,126,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61b7c93fce728d518f24c598,5f01c22f304f73327d3af3eb,RETURNED,2021-12-13 22:40:00.069000,,58972.025959,46,187,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61b7c9c1615ab246b173eed7,6164c48c8a90518467dbc4bf,APPROVED,2021-12-13 22:31:34.130000,2021-12-13 22:33:54.870000,140.74,20,5,0,100,2021-12-13 22:39:37.630000,94C0A878,United States,United States,Full-Time,English,United States,Female,Yes
61b7c9c94be1fb1e8ef03f75,60e00c5c7ea8b0ffbb4564d6,APPROVED,2021-12-13 22:31:59.921000,2021-12-13 22:35:30.862000,210.941,32,100,1,100,2021-12-13 22:39:38.259000,94C0A878,DATA EXPIRED,United Kingdom,Full-Time,English,United Kingdom,Female,DATA EXPIRED
61b7c9f0f6d75f123c5b2266,6122f17c5f84f0f57feca3e6,RETURNED,2021-12-13 22:43:00.055000,,58792.133195,22,23,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61b7c9f689805bbc61dd1e7e,6147bfb9cde2c8528f408f32,APPROVED,2021-12-13 22:32:24.191000,2021-12-13 22:35:26.068000,181.877,30,58,0,100,2021-12-13 22:39:38.188000,94C0A878,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61b7ca01bd12e7e672be4322,606f51ece670ab12afc71ce7,APPROVED,2021-12-13 22:34:29.085000,2021-12-13 22:39:43.581000,314.496,25,134,2,98,2021-12-13 22:47:00.353000,94C0A878,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61b7ca0c32dd19b1f16de630,61021ada16e91d9112f5ebb2,APPROVED,2021-12-13 22:32:46.730000,2021-12-13 22:35:37.247000,170.517,19,35,0,100,2021-12-13 22:39:38.121000,94C0A878,United States,United States,Part-Time,English,United States,Female,Yes
61b7ca375332ecc94186d573,6030eb75090088f9783ec864,TIMED-OUT,2021-12-13 22:33:27.973000,,59364.349884,32,97,0,100,,,Nigeria,Netherlands,Unemployed (and job seeking),English,Nigeria,Female,Yes
61b7ca56ed8106ff6f83db59,57fefff657ee39000120e089,APPROVED,2021-12-13 22:33:58.267000,2021-12-13 22:37:12.597000,194.33,32,245,1,100,2021-12-13 22:39:37.846000,94C0A878,Canada,Canada,Full-Time,English,Canada,Female,No
61b7ca613bf1705a82ead4ac,60adbd85d31d5039d3638816,APPROVED,2021-12-13 22:34:12.567000,2021-12-13 22:36:55.861000,163.294,30,82,3,98,2021-12-13 22:39:37.565000,94C0A878,New Zealand,New Zealand,DATA EXPIRED,English,New Zealand,Female,DATA EXPIRED
