Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639a4e40d8501dbe01684ec2,5aaa59e2f5c89a0001e25150,APPROVED,2022-12-14T22:29:36.435000Z,2022-12-14T22:31:55.728000Z,2022-12-14T22:50:59.122000,2022-12-14T22:31:56.142029Z,140,C177C1KX,668,English,23,Male,Black,Nigeria,Canada,Nigeria,English,No,Full-Time
639a4ee37916e7a5c42566c0,62f83cb59e7df1ff5d4c5a59,APPROVED,2022-12-14T22:32:06.250000Z,2022-12-14T22:33:42.664000Z,2022-12-14T22:50:59.229000,2022-12-14T22:33:43.497453Z,97,C177C1KX,451,English,25,Male,White,United States,United States,United States,English,No,Other
639a4f44d8501dbe01684ee5,60786d237032d5382c77be25,APPROVED,2022-12-14T22:33:44.954000Z,2022-12-14T22:38:55.786000Z,2022-12-14T22:51:04.157000,2022-12-14T22:38:56.115766Z,311,C177C1KX,467,English,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639a5006ed79ea9a06684f08,5d54e99b7add170018c5f9d7,APPROVED,2022-12-14T22:36:59.291000Z,2022-12-14T22:38:52.273000Z,2022-12-14T22:51:04.269000,2022-12-14T22:38:52.648083Z,113,C177C1KX,688,English,31,Female,Mixed,Saudi Arabia,Canada,Canada,English,No,Full-Time
639a500daf27fc2212a078e2,5d6de63201523a0001f51f27,APPROVED,2022-12-14T22:37:01.230000Z,2022-12-14T22:40:08.553000Z,2022-12-14T22:51:04.382000,2022-12-14T22:40:08.980458Z,188,C177C1KX,626,English,56,Female,White,Australia,Australia,Australia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639a50121f4431c17c1b58f2,60fddc9b1b08d7b21e4bf84c,APPROVED,2022-12-14T22:37:10.241000Z,2022-12-14T22:39:58.996000Z,2022-12-14T22:51:04.493000,2022-12-14T22:39:59.396173Z,169,C177C1KX,262,English,33,Female,White,Canada,Canada,Canada,English,No,Full-Time
639a5015feada8ea80269381,6348394e0cb39a9718544d92,APPROVED,2022-12-14T22:37:14.700000Z,2022-12-14T22:38:52.544000Z,2022-12-14T22:50:59.339000,2022-12-14T22:38:52.911291Z,98,C177C1KX,47,English,24,Male,Asian,Singapore,United Kingdom,Singapore,English,Yes,Other
639a5033c4973bc9f977a676,61624a8096e30edac3a0685a,APPROVED,2022-12-14T22:37:42.511000Z,2022-12-14T22:39:50.682000Z,2022-12-14T22:51:04.603000,2022-12-14T22:39:51.189541Z,129,C177C1KX,244,English,25,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639a5037937e1d06a459bc71,5bf2d027157eff00013f0d58,APPROVED,2022-12-14T22:37:45.505000Z,2022-12-14T22:42:36.490000Z,2022-12-14T22:50:59.443000,2022-12-14T22:42:36.886958Z,291,C177C1KX,401,English,32,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639a5047f7f765c93c02f89d,60b7ae30dc4cd72192734427,APPROVED,2022-12-14T22:37:59.595000Z,2022-12-14T22:41:10.951000Z,2022-12-14T22:50:59.550000,2022-12-14T22:41:11.343248Z,192,C177C1KX,311,"English, Polish",37,Male,White,Poland,Poland,Poland,English,No,Full-Time
639a505171a30b4d9460248e,5a2461e2cbf02200012a2322,APPROVED,2022-12-14T22:38:11.799000Z,2022-12-14T22:41:12.353000Z,2022-12-14T22:51:04.713000,2022-12-14T22:41:15.222299Z,181,C177C1KX,515,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639a506c53f0112dc2ecbc7e,5f4a274f21ec8a5971fbb33f,APPROVED,2022-12-14T22:38:36.847000Z,2022-12-14T22:40:26.023000Z,2022-12-14T22:51:04.819000,2022-12-14T22:40:26.397619Z,110,C177C1KX,318,English,32,Female,White,Canada,United Kingdom,Canada,English,Yes,Part-Time
639a5076f93e94a964ab351e,60fddf7d37552b32ac488583,APPROVED,2022-12-14T22:38:46.432000Z,2022-12-14T22:41:12.638000Z,2022-12-14T22:51:04.931000,2022-12-14T22:41:12.975475Z,147,C177C1KX,240,English,30,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time
639a5083714b53bd06bfc344,5f4fc59aab8e460ca4a9a8b0,APPROVED,2022-12-14T22:39:04.359000Z,2022-12-14T22:41:43.338000Z,2022-12-14T22:50:59.658000,2022-12-14T22:41:43.771790Z,159,C177C1KX,571,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639a50a02cfa8a8e17afe6c6,5f8d35cc8c96854e037df333,APPROVED,2022-12-14T22:39:32.588000Z,2022-12-14T22:44:23.596000Z,2022-12-14T22:51:05.040000,2022-12-14T22:44:25.119912Z,292,C177C1KX,291,English,25,Female,Mixed,Mexico,Mexico,Mexico,English,No,Part-Time
639a50b1479612cb0781cb93,60cea4440cad5e1e131e1ecb,APPROVED,2022-12-14T22:39:45.488000Z,2022-12-14T22:46:57.462000Z,2022-12-14T22:50:59.768000,2022-12-14T22:46:58.366118Z,432,C177C1KX,319,English,57,Male,White,New Zealand,New Zealand,New Zealand,English,No,DATA_EXPIRED
639a50baf93e94a964ab3524,5914ba72318da600011362c6,APPROVED,2022-12-14T22:40:00.895000Z,2022-12-14T22:43:01.272000Z,2022-12-14T22:51:05.155000,2022-12-14T22:43:02.004634Z,181,C177C1KX,732,English,54,Female,White,United Kingdom,Ireland,United Kingdom,English,Yes,Full-Time
639a51348bd97b1a76abb673,62b441e90b96bd6799bf1c77,APPROVED,2022-12-14T22:41:59.098000Z,2022-12-14T22:43:47.313000Z,2022-12-14T22:50:59.877000,2022-12-14T22:43:47.712374Z,109,C177C1KX,289,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639a53547fdb4f78e512e7ae,5e94b43203807b339eef4947,APPROVED,2022-12-14T22:51:04.355000Z,2022-12-14T22:53:00.911000Z,2022-12-14T22:59:44.984000,2022-12-14T22:53:01.297992Z,117,C177C1KX,1242,English,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639a535c5d4f5c2d5126937b,62fe3116dcb6c0761f05f757,APPROVED,2022-12-14T22:51:14.734000Z,2022-12-14T22:53:30.056000Z,2022-12-14T22:59:45.092000,2022-12-14T22:53:32.024449Z,136,C177C1KX,43,English,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
639a535fe4e1ad1d353c065f,614e65edaccea7bee04b8ad8,APPROVED,2022-12-14T22:51:20.400000Z,2022-12-14T22:55:34.505000Z,2022-12-14T22:59:45.192000,2022-12-14T22:55:34.858271Z,255,NOCODE,555,English,56,Male,White,Australia,Australia,Australia,English,No,Full-Time
639a5368c4973bc9f977a6b5,63936b29b93084aeeb927bd9,APPROVED,2022-12-14T22:51:20.464000Z,2022-12-14T22:53:57.658000Z,2022-12-14T22:59:45.294000,2022-12-14T22:53:58.394643Z,158,C177C1KX,5,English,31,Male,White,Australia,Australia,Australia,English,No,Full-Time
639a536f73b734e905317ed2,5e92178e8ee4fe54b65b7c39,APPROVED,2022-12-14T22:51:52.767000Z,2022-12-14T22:55:46.119000Z,2022-12-14T22:59:45.395000,2022-12-14T22:55:46.522660Z,234,C177C1KX,1426,English,28,Male,Mixed,Canada,Spain,United States,English,No,Full-Time
639a5370c3d5be8367afe66a,5c56550e54f9d30001db7f50,APPROVED,2022-12-14T22:51:30.992000Z,2022-12-14T22:54:21.762000Z,2022-12-14T22:59:45.492000,2022-12-14T22:54:22.096002Z,171,C177C1KX,1066,English,36,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Other
639a53725339c30a93455d5b,5d8c9ddd00980b0019e20c43,APPROVED,2022-12-14T22:51:30.440000Z,2022-12-14T22:53:05.624000Z,2022-12-14T22:59:45.589000,2022-12-14T22:53:05.956069Z,96,C177C1KX,198,English,29,Male,Mixed,Australia,Australia,Portugal,English,No,Full-Time
639a537a7654a6954f81cbd9,5e00927797234bc6b5389173,APPROVED,2022-12-14T22:51:39.944000Z,2022-12-14T22:53:36.577000Z,2022-12-14T22:59:45.686000,2022-12-14T22:53:37.092755Z,117,C177C1KX,433,English,26,Male,White,Canada,Canada,Canada,English,No,Full-Time
639a537aba37fd5b02af492d,61587f16e25d1946774ea99a,APPROVED,2022-12-14T22:51:38.028000Z,2022-12-14T22:56:53.532000Z,2022-12-14T22:59:45.785000,2022-12-14T22:56:53.919827Z,316,C177C1KX,458,English,47,Male,White,United Kingdom,Ireland,United Kingdom,English,No,Full-Time
639a538a49f7b56940e0a120,62694fbeede8c79c1b047e80,APPROVED,2022-12-14T22:51:54.325000Z,2022-12-14T22:53:12.339000Z,2022-12-14T22:59:45.884000,2022-12-14T22:53:12.698677Z,79,C177C1KX,233,English,31,Male,Other,Poland,United Kingdom,Poland,English,DATA_EXPIRED,DATA_EXPIRED
639a5463aee31b48c9a078c5,6040ba427ef1082f7a904328,APPROVED,2022-12-14T22:55:35.126000Z,2022-12-14T22:58:34.440000Z,2022-12-14T22:59:45.984000,2022-12-14T22:58:34.871077Z,180,C177C1KX,404,"English, Afrikaans",22,Male,Mixed,South Africa,South Africa,South Africa,English,No,Part-Time
639a546e49f7b56940e0a134,5bb6faf4f6d0bd00019e12f4,APPROVED,2022-12-14T22:55:51.570000Z,2022-12-14T22:59:12.403000Z,2022-12-14T22:59:46.083000,2022-12-14T22:59:12.893064Z,201,C177C1KX,680,English,49,Male,White,Canada,Australia,Australia,English,No,Unemployed (and job seeking)
639a546e714b53bd06bfc3a6,5f917a9328ca6c079fbf2a58,APPROVED,2022-12-14T22:55:44.616000Z,2022-12-14T22:59:38.605000Z,2022-12-15T00:23:33.135000,2022-12-14T22:59:39.605854Z,234,C177C1KX,875,English,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639a5473ed1cbf58fe190ca9,61459be797c9650ece9bcc0a,APPROVED,2022-12-14T22:55:54.646000Z,2022-12-14T23:03:15.262000Z,2022-12-15T00:23:33.240000,2022-12-14T23:03:15.705590Z,441,C177C1KX,301,English,62,Male,White,Australia,Australia,Australia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
