,jspsychID,vid_num,agent,causal_rating,outcome,cf,outcome_cf
0,1c0rehfjbb5j2dp,01,animate,-5.0,in,out,in_out
2,1c0rehfjbb5j2dp,02,animate,-89.0,in,out,in_out
4,1c0rehfjbb5j2dp,03,animate,2.0,in,out,in_out
6,1c0rehfjbb5j2dp,04,animate,-1.0,in,out,in_out
8,1c0rehfjbb5j2dp,05,animate,91.0,in,out,in_out
10,1c0rehfjbb5j2dp,06,animate,0.0,in,out,in_out
12,1c0rehfjbb5j2dp,09,animate,22.0,in,in,in_in
14,1c0rehfjbb5j2dp,10,animate,86.0,in,in,in_in
16,1c0rehfjbb5j2dp,11,animate,69.0,in,in,in_in
18,1c0rehfjbb5j2dp,12,animate,-4.0,in,in,in_in
20,1c0rehfjbb5j2dp,13,animate,5.0,out,out,out_out
22,1c0rehfjbb5j2dp,14,animate,-12.0,out,out,out_out
24,1c0rehfjbb5j2dp,15,animate,-9.0,out,out,out_out
26,1c0rehfjbb5j2dp,16,animate,15.0,out,out,out_out
28,1c0rehfjbb5j2dp,17,animate,-2.0,out,out,out_out
30,1c0rehfjbb5j2dp,18,animate,81.0,out,out,out_out
32,1c0rehfjbb5j2dp,19,animate,-4.0,out,in,out_in
34,1c0rehfjbb5j2dp,20,animate,13.0,out,in,out_in
36,1c0rehfjbb5j2dp,21,animate,16.0,out,in,out_in
38,1c0rehfjbb5j2dp,22,animate,-10.0,out,in,out_in
40,1c0rehfjbb5j2dp,23,animate,0.0,out,in,out_in
42,1c0rehfjbb5j2dp,24,animate,78.0,out,in,out_in
44,1gr9ckwrg193v0y,01,animate,11.0,in,out,in_out
46,1gr9ckwrg193v0y,02,animate,17.0,in,out,in_out
48,1gr9ckwrg193v0y,03,animate,9.0,in,out,in_out
50,1gr9ckwrg193v0y,04,animate,17.0,in,out,in_out
52,1gr9ckwrg193v0y,05,animate,0.0,in,out,in_out
54,1gr9ckwrg193v0y,06,animate,0.0,in,out,in_out
56,1gr9ckwrg193v0y,09,animate,-33.0,in,in,in_in
58,1gr9ckwrg193v0y,10,animate,2.0,in,in,in_in
60,1gr9ckwrg193v0y,11,animate,8.0,in,in,in_in
62,1gr9ckwrg193v0y,12,animate,0.0,in,in,in_in
64,1gr9ckwrg193v0y,13,animate,-70.0,out,out,out_out
66,1gr9ckwrg193v0y,14,animate,43.0,out,out,out_out
68,1gr9ckwrg193v0y,15,animate,32.0,out,out,out_out
70,1gr9ckwrg193v0y,16,animate,9.0,out,out,out_out
72,1gr9ckwrg193v0y,17,animate,0.0,out,out,out_out
74,1gr9ckwrg193v0y,18,animate,0.0,out,out,out_out
76,1gr9ckwrg193v0y,19,animate,15.0,out,in,out_in
78,1gr9ckwrg193v0y,20,animate,-15.0,out,in,out_in
80,1gr9ckwrg193v0y,21,animate,-1.0,out,in,out_in
82,1gr9ckwrg193v0y,22,animate,15.0,out,in,out_in
84,1gr9ckwrg193v0y,23,animate,37.0,out,in,out_in
86,1gr9ckwrg193v0y,24,animate,-2.0,out,in,out_in
88,1z2qa8k94m5nhuz,01,animate,1.0,in,out,in_out
90,1z2qa8k94m5nhuz,02,animate,-73.0,in,out,in_out
92,1z2qa8k94m5nhuz,03,animate,0.0,in,out,in_out
94,1z2qa8k94m5nhuz,04,animate,0.0,in,out,in_out
96,1z2qa8k94m5nhuz,05,animate,0.0,in,out,in_out
98,1z2qa8k94m5nhuz,06,animate,0.0,in,out,in_out
100,1z2qa8k94m5nhuz,09,animate,-3.0,in,in,in_in
102,1z2qa8k94m5nhuz,10,animate,-85.0,in,in,in_in
104,1z2qa8k94m5nhuz,11,animate,-71.0,in,in,in_in
106,1z2qa8k94m5nhuz,12,animate,0.0,in,in,in_in
108,1z2qa8k94m5nhuz,13,animate,-75.0,out,out,out_out
110,1z2qa8k94m5nhuz,14,animate,0.0,out,out,out_out
112,1z2qa8k94m5nhuz,15,animate,-77.0,out,out,out_out
114,1z2qa8k94m5nhuz,16,animate,0.0,out,out,out_out
116,1z2qa8k94m5nhuz,17,animate,0.0,out,out,out_out
118,1z2qa8k94m5nhuz,18,animate,0.0,out,out,out_out
120,1z2qa8k94m5nhuz,19,animate,0.0,out,in,out_in
122,1z2qa8k94m5nhuz,20,animate,25.0,out,in,out_in
124,1z2qa8k94m5nhuz,21,animate,-4.0,out,in,out_in
126,1z2qa8k94m5nhuz,22,animate,-14.0,out,in,out_in
128,1z2qa8k94m5nhuz,23,animate,-26.0,out,in,out_in
130,1z2qa8k94m5nhuz,24,animate,65.0,out,in,out_in
132,26g5jp57pvqxkau,01,animate,-50.0,in,out,in_out
134,26g5jp57pvqxkau,02,animate,0.0,in,out,in_out
136,26g5jp57pvqxkau,03,animate,-21.0,in,out,in_out
138,26g5jp57pvqxkau,04,animate,18.0,in,out,in_out
140,26g5jp57pvqxkau,05,animate,0.0,in,out,in_out
142,26g5jp57pvqxkau,06,animate,0.0,in,out,in_out
144,26g5jp57pvqxkau,09,animate,12.0,in,in,in_in
146,26g5jp57pvqxkau,10,animate,-12.0,in,in,in_in
148,26g5jp57pvqxkau,11,animate,21.0,in,in,in_in
150,26g5jp57pvqxkau,12,animate,-27.0,in,in,in_in
152,26g5jp57pvqxkau,13,animate,48.0,out,out,out_out
154,26g5jp57pvqxkau,14,animate,-5.0,out,out,out_out
156,26g5jp57pvqxkau,15,animate,-14.0,out,out,out_out
158,26g5jp57pvqxkau,16,animate,-6.0,out,out,out_out
160,26g5jp57pvqxkau,17,animate,0.0,out,out,out_out
162,26g5jp57pvqxkau,18,animate,0.0,out,out,out_out
164,26g5jp57pvqxkau,19,animate,-2.0,out,in,out_in
166,26g5jp57pvqxkau,20,animate,-55.0,out,in,out_in
168,26g5jp57pvqxkau,21,animate,-16.0,out,in,out_in
170,26g5jp57pvqxkau,22,animate,17.0,out,in,out_in
172,26g5jp57pvqxkau,23,animate,-30.0,out,in,out_in
174,26g5jp57pvqxkau,24,animate,-63.0,out,in,out_in
176,2hd8aow1p4mrm10,01,animate,99.0,in,out,in_out
178,2hd8aow1p4mrm10,02,animate,-99.0,in,out,in_out
180,2hd8aow1p4mrm10,03,animate,0.0,in,out,in_out
182,2hd8aow1p4mrm10,04,animate,0.0,in,out,in_out
184,2hd8aow1p4mrm10,05,animate,0.0,in,out,in_out
186,2hd8aow1p4mrm10,06,animate,0.0,in,out,in_out
188,2hd8aow1p4mrm10,09,animate,0.0,in,in,in_in
190,2hd8aow1p4mrm10,10,animate,0.0,in,in,in_in
192,2hd8aow1p4mrm10,11,animate,99.0,in,in,in_in
194,2hd8aow1p4mrm10,12,animate,0.0,in,in,in_in
196,2hd8aow1p4mrm10,13,animate,0.0,out,out,out_out
198,2hd8aow1p4mrm10,14,animate,99.0,out,out,out_out
200,2hd8aow1p4mrm10,15,animate,0.0,out,out,out_out
202,2hd8aow1p4mrm10,16,animate,0.0,out,out,out_out
204,2hd8aow1p4mrm10,17,animate,0.0,out,out,out_out
206,2hd8aow1p4mrm10,18,animate,0.0,out,out,out_out
208,2hd8aow1p4mrm10,19,animate,0.0,out,in,out_in
210,2hd8aow1p4mrm10,20,animate,99.0,out,in,out_in
212,2hd8aow1p4mrm10,21,animate,-99.0,out,in,out_in
214,2hd8aow1p4mrm10,22,animate,0.0,out,in,out_in
216,2hd8aow1p4mrm10,23,animate,99.0,out,in,out_in
218,2hd8aow1p4mrm10,24,animate,99.0,out,in,out_in
220,307xl96xevy258j,01,animate,29.0,in,out,in_out
222,307xl96xevy258j,02,animate,-4.0,in,out,in_out
224,307xl96xevy258j,03,animate,4.0,in,out,in_out
226,307xl96xevy258j,04,animate,6.0,in,out,in_out
228,307xl96xevy258j,05,animate,-7.0,in,out,in_out
230,307xl96xevy258j,06,animate,20.0,in,out,in_out
232,307xl96xevy258j,09,animate,17.0,in,in,in_in
234,307xl96xevy258j,10,animate,19.0,in,in,in_in
236,307xl96xevy258j,11,animate,29.0,in,in,in_in
238,307xl96xevy258j,12,animate,-30.0,in,in,in_in
240,307xl96xevy258j,13,animate,39.0,out,out,out_out
242,307xl96xevy258j,14,animate,29.0,out,out,out_out
244,307xl96xevy258j,15,animate,22.0,out,out,out_out
246,307xl96xevy258j,16,animate,-1.0,out,out,out_out
248,307xl96xevy258j,17,animate,29.0,out,out,out_out
250,307xl96xevy258j,18,animate,-16.0,out,out,out_out
252,307xl96xevy258j,19,animate,-37.0,out,in,out_in
254,307xl96xevy258j,20,animate,14.0,out,in,out_in
256,307xl96xevy258j,21,animate,12.0,out,in,out_in
258,307xl96xevy258j,22,animate,11.0,out,in,out_in
260,307xl96xevy258j,23,animate,76.0,out,in,out_in
262,307xl96xevy258j,24,animate,31.0,out,in,out_in
264,3do436d15tuqsck,01,animate,-47.0,in,out,in_out
266,3do436d15tuqsck,02,animate,0.0,in,out,in_out
268,3do436d15tuqsck,03,animate,70.0,in,out,in_out
270,3do436d15tuqsck,04,animate,27.0,in,out,in_out
272,3do436d15tuqsck,05,animate,0.0,in,out,in_out
274,3do436d15tuqsck,06,animate,0.0,in,out,in_out
276,3do436d15tuqsck,09,animate,-16.0,in,in,in_in
278,3do436d15tuqsck,10,animate,0.0,in,in,in_in
280,3do436d15tuqsck,11,animate,0.0,in,in,in_in
282,3do436d15tuqsck,12,animate,0.0,in,in,in_in
284,3do436d15tuqsck,13,animate,11.0,out,out,out_out
286,3do436d15tuqsck,14,animate,0.0,out,out,out_out
288,3do436d15tuqsck,15,animate,-28.0,out,out,out_out
290,3do436d15tuqsck,16,animate,84.0,out,out,out_out
292,3do436d15tuqsck,17,animate,0.0,out,out,out_out
294,3do436d15tuqsck,18,animate,0.0,out,out,out_out
296,3do436d15tuqsck,19,animate,0.0,out,in,out_in
298,3do436d15tuqsck,20,animate,77.0,out,in,out_in
300,3do436d15tuqsck,21,animate,-99.0,out,in,out_in
302,3do436d15tuqsck,22,animate,99.0,out,in,out_in
304,3do436d15tuqsck,23,animate,33.0,out,in,out_in
306,3do436d15tuqsck,24,animate,99.0,out,in,out_in
